year,month,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,WSPM,time
2013,3,104.67775537634408,131.22339829749103,38.57148862007168,67.2235488687276,1444.3450940860216,56.46176496415771,5.992249103942653,1012.2243727598566,1.88641353046595,3/2013
2013,4,62.458449074074075,95.97615740740741,20.683255833333334,45.68719077546296,895.740625,62.599339166666674,12.38005787037037,1007.8118171296296,2.333310185185185,4/2013
2013,5,82.8826164874552,134.34711021505376,25.43210788530466,50.10944517249104,956.9342517921147,89.13744885752688,21.67669130824373,1002.6529121863798,1.8116935483870966,5/2013
2013,6,101.75954861111111,115.84450231481482,13.602666574074075,48.19308142361111,1317.8667824074073,74.48641509259258,23.583425925925926,999.6398379629629,1.2873495370370371,6/2013
2013,7,67.65232974910394,76.49249551971326,7.2196523297491035,38.61087752016129,978.7847222222222,78.95350958781361,27.108826164874554,995.5016801075269,1.316913082437276,7/2013
2013,8,60.83702956989247,77.79368279569893,6.908745430107526,39.06364724462365,889.3593189964158,82.44485300179211,26.904816308243728,998.7673051075269,1.3827732974910394,8/2013
2013,9,76.13356481481482,96.40462962962962,10.199189444444444,51.51883553240741,1156.8094907407408,47.84178298611111,20.24068287037037,1008.8497106481482,1.1714467592592592,9/2013
2013,10,91.98006272401433,112.99574372759857,15.641971774193548,63.37354803987455,1213.1160394265232,27.922406832437275,12.984016577060933,1015.7997535842293,1.2582101254480287,10/2013
2013,11,73.82824074074074,96.24490740740741,21.845554722222225,55.82315091435185,1464.1087962962963,23.722831689814814,5.963900462962963,1016.5369097222223,1.8211458333333335,11/2013
2013,12,78.19814068100358,96.10763888888889,38.47551173835125,60.26474385080645,1879.693100358423,21.691070878136202,0.05416666666666667,1019.612130376344,1.7283602150537634,12/2013
2014,1,99.02475358422939,124.17445116487455,53.32784498207885,64.84767025089606,1967.2379032258063,21.84113416218638,-0.2830309139784946,1019.6851030465949,1.667831541218638,1/2014
2014,2,153.4232390873016,156.58506944444446,58.55009920634921,64.82142857142857,2197.222222222222,27.971974206349206,-0.34685019841269843,1022.0472098214286,1.5933283730158732,2/2014
2014,3,95.25414426523298,136.19030017921148,34.78953853046595,63.386088709677416,1396.695788530466,47.187836021505376,9.90146729390681,1013.2684027777779,1.8680555555555556,3/2014
2014,4,92.47002314814814,143.90601851851852,16.966203703703705,56.82905092592593,918.5185185185185,70.71377314814815,17.017997685185186,1009.9501041666667,1.7390393518518519,4/2014
2014,5,62.97848342293907,117.60772849462366,16.092036290322582,49.021146953405015,835.7750896057348,90.07965949820787,21.616420250896056,1001.079211469534,2.080689964157706,5/2014
2014,6,54.81168981481481,74.17245370370371,6.3523148148148145,39.84594907407408,806.238425925926,101.32013888888889,24.766296296296296,999.6672106481481,1.4415162037037037,6/2014
2014,7,89.56316084229391,109.93907930107527,6.558109318996416,37.89917114695341,933.3109318996416,103.21426971326164,28.030734767025088,998.1169242831542,1.535931899641577,7/2014
2014,8,63.35049283154121,85.68562948028675,5.362018369175627,41.72764336917563,842.6075268817204,97.03546146953404,26.026019265232975,1002.1725470430108,1.4014336917562724,8/2014
2014,9,66.91083333333333,90.29914351851852,6.683969907407407,48.54233796296296,988.7037037037037,59.91928240740741,20.701493055555556,1008.2762152777777,1.3001157407407407,9/2014
2014,10,119.73846326164875,146.7856182795699,8.994287634408602,70.77777777777777,1338.7208781362008,27.74652777777778,13.567260304659499,1014.1674955197133,1.1882280465949822,10/2014
2014,11,87.26832175925927,125.3737962962963,16.431921296296295,65.64480324074074,1568.2291666666667,22.661238425925927,5.910185185185185,1017.8844791666667,1.5128587962962963,11/2014
2014,12,60.18487903225806,98.0980958781362,28.779177867383513,53.902934587813625,1574.2159498207886,27.17956989247312,-0.8912970430107527,1022.2704749103943,2.3025201612903228,12/2014
2015,1,96.32184139784947,113.75007840501792,34.24012096774194,66.05070564516129,1903.225806451613,23.581675627240145,-0.8957437275985662,1021.2962813620071,1.6947692652329749,1/2015
2015,2,93.18007192460317,120.7585689484127,26.610515873015874,51.118402777777774,1455.530753968254,39.01171875,1.2590277777777776,1017.8352182539683,1.9489459325396825,2/2015
2015,3,86.61069668458782,145.8540770609319,20.850638440860216,53.94240591397849,1188.1608422939069,50.53938172043011,8.506003317545577,1015.2176347288199,2.1067428315412187,3/2015
2015,4,72.4969675925926,114.6354513888889,9.280081018518517,46.79087962962963,757.9166666666666,76.89886574074073,15.581225799663311,1009.2534217171507,2.270798611111111,4/2015
2015,5,55.558546146953404,95.55349462365591,8.71326164874552,37.28056675627241,721.2701612903226,96.63481182795698,21.3517585125448,1001.873700716846,2.2257392473118283,5/2015
2015,6,60.73236111111111,80.56171296296296,6.710763888888889,34.83599537037037,1051.712962962963,93.65863425925926,24.462847222222223,998.8075694444445,1.8002662037037036,6/2015
2015,7,61.105510752688176,75.39743503584229,4.791778673835125,34.5152329749104,814.247311827957,102.61872759856631,26.291207437275986,999.7688508064517,1.5129816308243726,7/2015
2015,8,44.56070788530466,65.01187275985663,3.5884856630824373,29.965389784946236,780.7571684587814,93.71751792114695,26.240714605734766,1001.8993055555555,1.4566308243727597,8/2015
2015,9,48.881018518518516,63.19039351851852,4.857986111111111,40.55891203703704,804.8495370370371,59.20266203703704,20.424224537037034,1009.8095370370371,1.4235879629629629,9/2015
2015,10,70.32840501792114,89.77497759856631,5.868503584229391,52.190076164874554,947.8718637992831,39.727486559139784,14.192058691756271,1014.1279569892473,1.721785394265233,10/2015
2015,11,114.9587962962963,120.42199074074074,11.796064814814814,59.569097222222226,1933.148148148148,14.699305555555556,3.0098148148148147,1021.7579745370371,1.3917476851851853,11/2015
2015,12,150.06306003584228,160.03068996415772,19.344198028673834,74.41241039426524,2798.700716845878,17.31070788530466,-0.3163082437275986,1022.3928203405018,1.7284386200716846,12/2015
2016,1,66.84744623655914,82.5695564516129,19.885640681003583,50.511648745519715,1565.625,30.140905017921146,-4.576232078853047,1024.2771617383512,2.149719982078853,1/2016
2016,2,42.75275383141762,56.82519157088122,14.579621647509578,33.49556992337165,883.5009578544061,48.5507662835249,1.234051724137931,1020.904992816092,2.463721264367816,2/2016
2016,3,92.49820788530467,134.44802867383513,17.763216845878137,55.279793906810035,1212.0967741935483,48.65568996415771,8.993929211469535,1015.1185035842294,2.0440636200716846,3/2016
2016,4,67.99085648148149,114.05324074074075,9.750578703703704,41.83738425925926,778.9236111111111,71.52986111111112,16.336354166666666,1006.2142592592592,2.3523958333333335,4/2016
2016,5,55.358198924731184,87.83142921146954,8.034386200716845,36.213373655913976,680.6451612903226,96.1396729390681,21.282482078853047,1003.9719422043011,2.144186827956989,5/2016
2016,6,58.53981481481482,75.90185185185184,5.041666666666667,34.04710648148148,741.3541666666666,108.59953703703704,25.406875,999.2255555555556,1.778587962962963,6/2016
2016,7,69.57750896057348,77.76500896057348,3.433915770609319,31.71482974910394,893.7051971326165,106.89796146953405,27.345911738351255,999.1381608422939,1.6243167562724015,7/2016
2016,8,45.84722222222222,58.06586021505376,2.8521505376344085,32.95956541218638,817.3499103942652,78.41778673835125,27.39668458781362,1002.0923499103943,1.553853046594982,8/2016
2016,9,53.679282407407406,67.3818287037037,3.3310185185185186,40.40706018518519,747.8935185185185,54.69363425925926,21.744291413818818,1007.7325318287166,1.501111111111111,9/2016
2016,10,86.78561827956989,100.7793458781362,4.309139784946237,53.26870519713262,1124.7983870967741,23.781810035842295,13.057236609804324,1015.4929767505492,1.4557235663082437,10/2016
2016,11,97.44143518518518,130.29849537037038,11.120486111111111,65.6417824074074,1752.974537037037,16.743055555555557,4.198391203703704,1018.9178703703705,1.603761574074074,11/2016
2016,12,128.7488799283154,149.63306451612902,17.054659498207887,77.49451164874552,2428.1698028673836,17.876232078853047,0.22625448028673836,1021.7918682795699,1.4987455197132615,12/2016
2017,1,113.89258512544802,133.66173835125448,18.55331541218638,63.09094982078853,2042.562724014337,33.97860663082437,-1.4288615115045524,1023.2462138910223,1.9886648745519713,1/2017
2017,2,68.95932539682539,85.64260912698413,17.62673611111111,50.65984623015873,1152.641369047619,46.596354166666664,2.3490304646164017,1020.3613012566137,2.011470734126984,2/2017
